POD number,Manufacturer,PartNum,Description,Designator,Tolerance,Value,Quantity
,,,,,,,
CAP-CER-1,VENKEL,C0402X7R160-104KN,"0.1uF, Ceramic Capacitor","C1, C2, C3, C4, C5, C6, C7, C8, C9, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C30, C31, C32, C35, C41, C49, C50, C51, C52, C53, C54, C55, C59, C60, C62, C63, C64, C65, C66, C67, C68, C69, C70, C79, C80, C82, C85, C86, C87, C88, C89, C90, C91, C92, C93, C96, C97, C98, C99, C100, C101, C102, C105, C106, C108, C110, C111, C114, C120, C121, C125, C129, C130, C131, C133, C136, C141, C144",10%,0.1uF,87
CAP-CER-13,TDK,C3225X5R0J107M,"100uF, 1210, Ceramic Capacitor","C33, C42, C73, C145",20%,100uF,4
CAP-CER-5,MURATA,GRM32DR61E106KA12L,"10uF, Ceramic Capacitor","C34, C36, C37, C39, C40, C43, C124, C126, C127, C142, C143, C146",10%,10uF,12
CAP-CER-6,MURATA,GRM155R71E103KA01D,"0.01uF, Ceramic Capacitor","C38, C44, C81, C122, C128, C139, C140, C147",10%,0.01uF,8
CAP-CER-3,MURATA,GRM21BR61E475KA12K,"4.7uF, Ceramic Capacitor","C45, C46, C47, C48, C56, C57, C58, C61, C83, C84, C94, C95, C103, C104, C123, C132, C134, C135, C137, C138",10%,4.7uF,20
CAP-CER-8,MURATA,GRM21BR61C105KA01L,"1uF, Ceramic Capacitor","C71, C72, C74, C75, C76, C77, C78, C112, C113, C115, C116, C117, C118, C119",10%,1uF,14
CAP-CER-4,MURATA,GRM155R61H102KA01D,"1000pF, Ceramic Capacitor","C107, C109",10%,1000pF,2
OPTO-LPIPE-1,Dialight,515-1094F,"2-High, press-fit, 3mm round, light-pipe","DS1, DS2",,,2
OPTO-LED-0,LUMEX,SML-LX1206GC-TR,"Green, Surface mount, LED, 1206","DS3, DS4, DS5, DS6",,,4
CONN-PCB-19,SAMTEC,QFSS-064-04.25-L-D-A-DP,"Shielded, 64-Differential Pair, Rugged High-Speed Terminal Strip, 0.635mm Pitch",J1,,,1
IND-FB-1,Murata,BLM31PG121SN1,"120 Ohm, Chip Ferrite Brad","L1, L2, L3, L4, L5, L6, L7, L8, L9, L10",25%,120R,10
IND-FB-0,Murata,BLM21BD601SN1,"600 Ohm, Chip Ferrite Bead",L11,25%,600R,1
CONN-PCB-26,Molex,747540420,SFP+ 1X4 Cage Assembly,P1,,,1
CONN-PCB-27,Molex,74441-0001,"20 Circuit, 0.8mm pitch SFP+ host connector","P2, P3, P4, P5",,,4
CONN-PCB-16,SAMTEC,TSM-107-01-TM-DV-P,"2x7, 2.54 mm Pitch, Male Header",P6,,,1
TRANS-NFET-0,Fairchild Semiconductor,BSS138,N-Channel Logic Level Enhancement Mode Field Effect Transistor,"Q1, Q2, Q3, Q4, Q5, Q6, Q7",,,7
RES-TF-5,ROYALOHM,0402WGJ0103T1E,"10K, 1.1mm x 0.5mm, Thick Film Resistor","R1, R4, R44, R66",5%,10K,4
RES-TF-36,ROYALOHM,0402WGF2K49T1E,"2K49, 1.1mm x 0.5mm, Thick Film Resistor","R2, R45",1%,2K49,2
RES-TF-13,ROYALOHM,0402WGF4991T1E,"4K99, 1.1mm x 0.5mm, Thick Film Resistor","R3, R46",1%,4K99,2
RES-TF-45,STACKPOLE,RMC0402FT3K57,"3K57, 1.1mm x 0.5mm, Thick Film Resistor",R 5,1%,3k57,1
RES-TF-46,STACKPOLE,RMC0402FT2K87,"2K87, 1.1mm x 0.5mm, Thick Film Resistor",R 6,1%,2k87,1
RES-TF-7,ROYALOHM,0402WGJ0332T1E,"3K3, 1.1mm x 0.5mm, Thick Film Resistor","R7, R8, R9, R10, R11, R12, R13, R14, R15, R16, R17, R18, R20, R21, R22, R23, R24, R25, R26, R27, R28, R29, R30, R31, R32, R33, R34, R35, R36, R37, R38, R39, R40, R41, R42, R43, R47, R48, R49, R50, R51, R52, R53, R54, R55, R56, R57, R58, R59, R60, R61, R62, R63, R70, R71, R72, R73",5%,3K3,57
RES-TF-0,ROYALOHM,0402WG00000T1E,"0R, 1.1mm x 0.5mm, Thick Film Resistor","R19, R65",0%,0R,2
RES-TF-14,ROYALOHM,0402WGF0101T1E,"100R, 1.1mm x 0.5mm, Thick Film Resistor","R64, R69",1%,100R,2
RES-TF-55,ROYALOHM,0402WGF3601T1E,"3K6, 1.1mm x 0.5mm, Thick Film Resistor",R 67,1%,3K6,1
RES-TF-54,ROYALOHM,0402WGF1601T1E,"1K6, 1.1mm x 0.5mm, Thick Film Resistor",R 68,1%,1K6,1
IC-PHY-2,Vitesse,VSC8488XJU,DualChannel WAN/LAN/Backplane XAUI to SFP+/KR Transceiver,"U1, U2",,,2
IC-REG-5,Texas Instruments,TPS74401RGW,3.0A Ultra-LDO with Programmable Soft-Start,"U3, U4, U9, U10",,,4
IC-MEM-5,Atmel,AT24C1024BN-SH-B,"1M, SOIC-8, Serial EEPROM","U5, U7",,,2
IC-LOG-14,Micrel,SY89832UMG,2.5 C Ultra-precision 1:4 LVDS Fanout Buffer/Translator with Interal Termination,U6,,,1
RESN-CLK-4,Crystek,CCLD-023-25-156.250,"2.5V 156.25 MHz, Low-Jitter Differential LVDS Clock Oscillator",U8,,,1
